cenario_id,geracao_fv_kw,irradiancia_w_m2,carga_kw,no_rede,fator_potencia,tensao_inicial_pu,tensao_resultado_pu,classificacao_risco,origem_resultado
346,1500.0,800.0,2000.0,675,1.0,1.0448693989505173,1.0510054085469092,ATENÇÃO,OPENDSS
347,1500.0,900.0,0.0,675,1.0,1.0426313134570546,1.0492775687689904,BAIXO,OPENDSS
348,1500.0,900.0,250.0,675,1.0,1.0481216271804614,1.0545166800442487,ATENÇÃO,OPENDSS
349,1500.0,900.0,500.0,675,1.0,1.0465566010760377,1.053187354528268,ATENÇÃO,OPENDSS
350,1500.0,900.0,750.0,675,1.0,1.0452702884617993,1.0519928758224415,ATENÇÃO,OPENDSS
351,1500.0,900.0,1000.0,675,1.0,1.0439870094004733,1.050804863304726,ATENÇÃO,OPENDSS
352,1500.0,900.0,1250.0,675,1.0,1.0491767244385408,1.0558100518732056,ATENÇÃO,OPENDSS
353,1500.0,900.0,1500.0,675,1.0,1.04793400185747,1.054431631717004,ATENÇÃO,OPENDSS
354,1500.0,900.0,1750.0,675,1.0,1.0467656419480598,1.0532218082273657,ATENÇÃO,OPENDSS
355,1500.0,900.0,2000.0,675,1.0,1.0448693989505173,1.0520283351136,ATENÇÃO,OPENDSS
356,1500.0,1000.0,0.0,675,1.0,1.0426313134570546,1.0499652605625114,BAIXO,OPENDSS
357,1500.0,1000.0,250.0,675,1.0,1.0481216271804614,1.055197241526557,ATENÇÃO,OPENDSS
358,1500.0,1000.0,500.0,675,1.0,1.0465566010760377,1.0538858518352134,ATENÇÃO,OPENDSS
359,1500.0,1000.0,750.0,675,1.0,1.0452702884617993,1.0526950407957762,ATENÇÃO,OPENDSS
360,1500.0,1000.0,1000.0,675,1.0,1.0439870094004733,1.0515089158608915,ATENÇÃO,OPENDSS
361,1500.0,1000.0,1250.0,675,1.0,1.0491767244385408,1.056568857199657,ATENÇÃO,OPENDSS
362,1500.0,1000.0,1500.0,675,1.0,1.04793400185747,1.055137070358587,ATENÇÃO,OPENDSS
363,1500.0,1000.0,1750.0,675,1.0,1.0467656419480598,1.0539241397521797,ATENÇÃO,OPENDSS
364,1500.0,1000.0,2000.0,675,1.0,1.0448693989505173,1.0527255748798388,ATENÇÃO,OPENDSS
365,2000.0,700.0,0.0,675,1.0,1.0426313134570546,1.0495076603106959,BAIXO,OPENDSS
366,2000.0,700.0,250.0,675,1.0,1.0481216271804614,1.0547442209885625,ATENÇÃO,OPENDSS
367,2000.0,700.0,500.0,675,1.0,1.0465566010760377,1.0534208622339032,ATENÇÃO,OPENDSS
368,2000.0,700.0,750.0,675,1.0,1.0452702884617993,1.0522275094682825,ATENÇÃO,OPENDSS
369,2000.0,700.0,1000.0,675,1.0,1.0439870094004733,1.0510400227721952,ATENÇÃO,OPENDSS
